attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,team
25025,TBA/TBA201903280,"Thursday, Mar 28",2019-03-28,1,Day,1,2:38,1.0,9,Away,Snell,TBR,2,1-0,Win,1,5,,+,Verlander,HOU
13059,TBA/TBA201903290,"Friday, Mar 29",2019-03-29,1,Night,2,2:38,1.0,9,Away,Cole,TBR,2,1-1,Loss,4,2,Alvarado,-,Morton,HOU
16010,TBA/TBA201903300,"Saturday, Mar 30",2019-03-30,1,Night,3,2:40,2.0,9,Away,McHugh,TBR,3,1-2,Loss,3,1,Alvarado,--,Glasnow,HOU
18473,TBA/TBA201903310,"Sunday, Mar 31",2019-03-31,1,Day,4,2:12,3.0,9,Away,Miley,TBR,4,1-3,Loss,3,1,Castillo,---,Chirinos,HOU
18056,TEX/TEX201904010,"Monday, Apr 1",2019-04-01,1,Night,5,2:39,3.0,9,Away,Sampson,TEX,4,2-3,Win,1,2,Osuna,+,Peacock,HOU
17907,TEX/TEX201904020,"Tuesday, Apr 2",2019-04-02,1,Night,6,3:23,4.0,9,Away,Valdez,TEX,4,2-4,Loss,6,4,Leclerc,-,Kelley,HOU
22265,TEX/TEX201904030,"Wednesday, Apr 3",2019-04-03,1,Night,7,2:39,4.5,9,Away,Cole,TEX,4,2-5,Loss,4,0,,--,Minor,HOU
43165,HOU/HOU201904050,"Friday, Apr 5",2019-04-05,1,Night,8,3:03,3.5,9,Home,Montas,OAK,4,3-5,Win,2,3,Osuna,+,McHugh,HOU
34487,HOU/HOU201904060,"Saturday, Apr 6",2019-04-06,1,Night,9,2:47,3.5,9,Home,Brooks,OAK,4,4-5,Win,0,6,,++,Miley,HOU
34902,HOU/HOU201904070,"Sunday, Apr 7",2019-04-07,1,Day,10,3:39,3.5,9,Home,Treinen,OAK,2,5-5,Loss,8,9,,+++,Osuna,HOU
27631,HOU/HOU201904080,"Monday, Apr 8",2019-04-08,1,Night,11,2:59,3.5,9,Home,Ottavino,NYY,2,6-5,Win,3,4,Osuna,++++,Pressly,HOU
31009,HOU/HOU201904090,"Tuesday, Apr 9",2019-04-09,1,Night,12,3:15,3.5,9,Home,Green,NYY,2,7-5,Win,3,6,Osuna,+++++,Rondon,HOU
27685,HOU/HOU201904100,"Wednesday, Apr 10",2019-04-10,1,Night,13,3:30,3.5,9,Home,Paxton,NYY,2,8-5,Win,6,8,Pressly,++++++,McHugh,HOU
30972,SEA/SEA201904120,"Friday, Apr 12",2019-04-12,1,Night,14,3:22,3.0,9,Away,Armstrong,SEA,2,9-5,Win,6,10,Osuna,+++++++,Peacock,HOU
30538,SEA/SEA201904130,"Saturday, Apr 13",2019-04-13,1,Night,15,2:46,2.0,9,Away,Hernandez,SEA,2,10-5,Win,1,3,Osuna,++++++++,Verlander,HOU
29242,SEA/SEA201904140,"Sunday, Apr 14",2019-04-14,1,Day,16,2:40,1.0,9,Away,Brennan,SEA,2,11-5,Win,2,3,Osuna,+++++++++,Cole,HOU
12270,OAK/OAK201904160,"Tuesday, Apr 16",2019-04-16,1,Night,17,3:03,-0.5,9,Away,Estrada,OAK,1,12-5,Win,1,9,,++++++++++,McHugh,HOU
11323,OAK/OAK201904170,"Wednesday, Apr 17",2019-04-17,1,Night,18,2:29,-0.5,9,Away,Miley,OAK,1,12-6,Loss,2,1,Treinen,-,Montas,HOU
35649,TEX/TEX201904190,"Friday, Apr 19",2019-04-19,1,Night,19,3:16,0.0,9,Away,Smyly,TEX,1,13-6,Win,2,7,,+,Verlander,HOU
39636,TEX/TEX201904200,"Saturday, Apr 20",2019-04-20,1,Night,20,2:51,1.0,9,Away,Cole,TEX,2,13-7,Loss,9,4,,-,Kelley,HOU
26225,TEX/TEX201904210,"Sunday, Apr 21",2019-04-21,1,Day,21,3:16,1.0,9,Away,McHugh,TEX,2,13-8,Loss,11,10,Kelley,--,Miller,HOU
34518,HOU/HOU201904220,"Monday, Apr 22",2019-04-22,1,Night,22,3:25,1.5,9,Home,Peacock,MIN,2,13-9,Loss,9,5,,---,Odorizzi,HOU
29409,HOU/HOU201904230,"Tuesday, Apr 23",2019-04-23,1,Night,23,3:04,0.5,9,Home,Hildenberger,MIN,2,14-9,Win,4,10,,+,Rondon,HOU
26582,HOU/HOU201904240,"Wednesday, Apr 24",2019-04-24,1,Night,24,2:28,-0.5,9,Home,Stewart,MIN,1,15-9,Win,1,7,,++,Verlander,HOU
24948,HOU/HOU201904250,"Thursday, Apr 25",2019-04-25,1,Night,25,2:40,0.5,9,Home,Cole,CLE,2,15-10,Loss,2,1,Hand,-,Bauer,HOU
38084,HOU/HOU201904260,"Friday, Apr 26",2019-04-26,1,Night,26,3:19,1.5,9,Home,Rondon,CLE,2,15-11,Loss,6,3,Hand,--,Cimber,HOU
38667,HOU/HOU201904270,"Saturday, Apr 27",2019-04-27,1,Day,27,3:12,0.5,10,Home,Cimber,CLE,2,16-11,Loss,3,4,,+,Osuna,HOU
31025,HOU/HOU201904280,"Sunday, Apr 28",2019-04-28,1,Night,28,2:48,-0.5,9,Home,Carrasco,CLE,1,17-11,Win,1,4,Pressly,++,Valdez,HOU
12615,MIN/MIN201904290,"Monday, Apr 29",2019-04-29,1,Night,29,2:31,0.0,9,Away,Verlander,MIN,1,17-12,Loss,1,0,Parker,-,Odorizzi,HOU
12181,MIN/MIN201904300,"Tuesday, Apr 30",2019-04-30,1,Night,30,3:18,-1.0,9,Away,Pineda,MIN,1,18-12,Win,0,11,,+,Cole,HOU
14115,MIN/MIN201905010,"Wednesday, May 1",2019-05-01,1,Night,31,2:28,-1.0,9,Away,McHugh,MIN,1,18-13,Loss,6,2,,-,Perez,HOU
17271,MIN/MIN201905020,"Thursday, May 2",2019-05-02,1,Day,32,2:32,-0.5,9,Away,Peacock,MIN,1,18-14,Loss,8,2,,--,Berrios,HOU
18177,ANA/ANA201905040,"Saturday, May 4",2019-05-04,1,Night,33,3:15,-2.0,9,Away,Cahill,LAA,1,19-14,Win,2,14,,+,Miley,HOU
17614,ANA/ANA201905050,"Sunday, May 5",2019-05-05,1,Day,34,3:04,-2.0,9,Away,Harvey,LAA,1,20-14,Win,4,10,,++,Verlander,HOU
27079,HOU/HOU201905060,"Monday, May 6",2019-05-06,1,Night,35,2:57,-3.0,9,Home,Junis,KCR,1,21-14,Win,4,6,Osuna,+++,Cole,HOU
30377,HOU/HOU201905070,"Tuesday, May 7",2019-05-07,1,Night,36,2:45,-3.0,9,Home,McHugh,KCR,1,21-15,Loss,12,2,,-,Duffy,HOU
22698,HOU/HOU201905080,"Wednesday, May 8",2019-05-08,1,Night,37,2:45,-3.0,9,Home,Lopez,KCR,1,22-15,Win,0,9,,+,Peacock,HOU
26657,HOU/HOU201905090,"Thursday, May 9",2019-05-09,1,Night,38,2:58,-4.0,9,Home,Minor,TEX,1,23-15,Win,2,4,Osuna,++,Miley,HOU
33023,HOU/HOU201905100,"Friday, May 10",2019-05-10,1,Night,39,2:29,-5.0,9,Home,Lynn,TEX,1,24-15,Win,0,3,Osuna,+++,Verlander,HOU
35849,HOU/HOU201905110,"Saturday, May 11",2019-05-11,1,Night,40,3:15,-5.5,9,Home,Smyly,TEX,1,25-15,Win,4,11,,++++,Cole,HOU
41027,HOU/HOU201905120,"Sunday, May 12",2019-05-12,1,Day,41,3:08,-6.5,9,Home,Sampson,TEX,1,26-15,Win,5,15,,+++++,Martin,HOU
15086,DET/DET201905130,"Monday, May 13",2019-05-13,1,Night,42,3:03,-6.5,9,Away,Boyd,DET,1,27-15,Win,1,8,,++++++,Peacock,HOU
14261,DET/DET201905140,"Tuesday, May 14",2019-05-14,1,Night,43,2:49,-7.0,9,Away,Carpenter,DET,1,28-15,Win,4,11,,+++++++,Miley,HOU
