Date,team1,team2
2019-04-01,TEX,HOU
2019-04-01,SFG,LAD
2019-04-01,DET,NYY
2019-04-01,CHC,ATL
2019-04-01,BOS,OAK
2019-04-01,COL,TBR
2019-04-01,CHW,CLE
2019-04-01,PIT,STL
2019-04-01,CIN,MIL
2019-04-01,MIA,NYM
2019-04-01,SDP,ARI
2019-04-01,SEA,LAA
2019-04-01,BAL,TOR
2019-04-02,TEX,HOU
2019-04-02,SFG,LAD
2019-04-02,DET,NYY
2019-04-02,KCR,MIN
2019-04-02,BOS,OAK
2019-04-02,COL,TBR
2019-04-02,PHI,WSN
2019-04-02,CIN,MIL
2019-04-02,MIA,NYM
2019-04-02,SDP,ARI
2019-04-02,SEA,LAA
2019-04-02,BAL,TOR
2019-04-03,TEX,HOU
2019-04-03,SFG,LAD
2019-04-03,DET,NYY
2019-04-03,KCR,MIN
2019-04-03,CHC,ATL
2019-04-03,BOS,OAK
2019-04-03,COL,TBR
2019-04-03,CHW,CLE
2019-04-03,PHI,WSN
2019-04-03,PIT,STL
2019-04-03,CIN,MIL
2019-04-03,MIA,NYM
2019-04-03,SDP,ARI
2019-04-03,BAL,TOR
2019-04-04,BAL,NYY
2019-04-04,CHC,ATL
2019-04-04,BOS,OAK
2019-04-04,TOR,CLE
2019-04-04,NYM,WSN
2019-04-04,LAA,TEX
2019-04-04,PIT,CIN
2019-04-04,DET,KCR
2019-04-05,OAK,HOU
2019-04-05,COL,LAD
2019-04-05,PHI,MIN
2019-04-05,MIA,ATL
2019-04-05,SFG,TBR
2019-04-05,TOR,CLE
2019-04-05,SDP,STL
2019-04-05,CHC,MIL
2019-04-05,BOS,ARI
2019-04-05,LAA,TEX
2019-04-05,PIT,CIN
2019-04-05,SEA,CHW
2019-04-06,OAK,HOU
2019-04-06,COL,LAD
2019-04-06,BAL,NYY
2019-04-06,PHI,MIN
2019-04-06,MIA,ATL
2019-04-06,SFG,TBR
2019-04-06,TOR,CLE
2019-04-06,NYM,WSN
2019-04-06,SDP,STL
2019-04-06,CHC,MIL
2019-04-06,BOS,ARI
2019-04-06,LAA,TEX
2019-04-06,PIT,CIN
2019-04-06,SEA,CHW
2019-04-06,DET,KCR
2019-04-07,OAK,HOU
2019-04-07,COL,LAD
2019-04-07,BAL,NYY
2019-04-07,PHI,MIN
2019-04-07,MIA,ATL
2019-04-07,SFG,TBR
2019-04-07,TOR,CLE
2019-04-07,NYM,WSN
2019-04-07,SDP,STL
2019-04-07,CHC,MIL
2019-04-07,BOS,ARI
2019-04-07,LAA,TEX
2019-04-07,PIT,CIN
2019-04-07,SEA,CHW
2019-04-07,DET,KCR
