attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner,home,road,home_team_runs,road_team_runs,team,cum_runs_scored,cum_runs_allowed,ytd_rd,winning_team
,LAN/LAN202007230,"Thursday, Jul 23",2020-07-23,1,Night,1,2:56,-0.5,9,Home,Rogers,SFG,1,1-0,Win,1,8,,+,Kolarek,LAD,SFG,8,1,Los Angeles Dodgers,8,1,7.0,LAD
,LAN/LAN202007240,"Friday, Jul 24",2020-07-24,1,Night,2,2:55,-0.5,9,Home,Anderson,SFG,1,2-0,Win,1,9,,++,Stripling,LAD,SFG,9,1,Los Angeles Dodgers,17,2,7.5,LAD
,LAN/LAN202007250,"Saturday, Jul 25",2020-07-25,1,Day,3,3:16,0.5,9,Home,Wood,SFG,2,2-1,Loss,5,4,Gott,-,Baragar,LAD,SFG,4,5,Los Angeles Dodgers,21,7,4.666666666666667,SFG
,LAN/LAN202007260,"Sunday, Jul 26",2020-07-26,1,Night,4,3:28,0.5,9,Home,Graterol,SFG,3,2-2,Loss,3,1,Gott,--,Peralta,LAD,SFG,1,3,Los Angeles Dodgers,22,10,3.0,SFG
,HOU/HOU202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:19,1.0,9,Away,Valdez,HOU,3,3-2,Win,2,5,Jansen,+,Kolarek,HOU,LAD,2,5,Los Angeles Dodgers,27,12,3.0,LAD
,HOU/HOU202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,4:44,0.5,13,Away,Sneed,HOU,2,4-2,Win,2,4,,++,Santana,HOU,LAD,2,4,Los Angeles Dodgers,31,14,2.8333333333333335,LAD
,ARI/ARI202007300,"Thursday, Jul 30",2020-07-30,1,Night,7,3:19,0.0,9,Away,Ray,ARI,1,5-2,Win,3,6,Baez,+++,Stripling,ARI,LAD,3,6,Los Angeles Dodgers,37,17,2.857142857142857,LAD
,ARI/ARI202007310,"Friday, Jul 31",2020-07-31,1,Night,8,3:15,1.0,9,Away,Treinen,ARI,2,5-3,Loss,5,3,Bradley,-,Rondon,ARI,LAD,5,3,Los Angeles Dodgers,40,22,2.25,ARI
,ARI/ARI202008010,"Saturday, Aug 1",2020-08-01,1,Night,9,2:49,0.0,9,Away,Weaver,ARI,1,6-3,Win,2,11,,+,Urias,ARI,LAD,2,11,Los Angeles Dodgers,51,24,3.0,LAD
,ARI/ARI202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,2:56,0.0,9,Away,Kelly,ARI,1,7-3,Win,0,3,Jansen,++,Kershaw,ARI,LAD,0,3,Los Angeles Dodgers,54,24,3.0,LAD
,SDN/SDN202008030,"Monday, Aug 3",2020-08-03,1,Night,11,2:44,1.0,9,Away,Graterol,SDP,2,7-4,Loss,5,4,Yates,-,Paddack,SDP,LAD,5,4,Los Angeles Dodgers,58,29,2.6363636363636362,SDP
,SDN/SDN202008040,"Tuesday, Aug 4",2020-08-04,1,Night,12,3:04,1.0,9,Away,Stammen,SDP,2,8-4,Win,2,5,Jansen,+,May,SDP,LAD,2,5,Los Angeles Dodgers,63,31,2.6666666666666665,LAD
,SDN/SDN202008050,"Wednesday, Aug 5",2020-08-05,1,Night,13,3:11,0.0,9,Away,Richards,SDP,1,9-4,Win,6,7,Jansen,++,Stripling,SDP,LAD,6,7,Los Angeles Dodgers,70,37,2.5384615384615383,LAD
,LAN/LAN202008070,"Friday, Aug 7",2020-08-07,1,Night,14,3:16,0.5,9,Home,Samardzija,SFG,2,10-4,Win,2,7,,+++,Floro,LAD,SFG,7,2,Los Angeles Dodgers,77,39,2.7142857142857144,LAD
,LAN/LAN202008080,"Saturday, Aug 8",2020-08-08,1,Night,15,2:54,1.5,9,Home,Kershaw,SFG,2,10-5,Loss,5,4,Gott,-,Cueto,LAD,SFG,4,5,Los Angeles Dodgers,81,44,2.466666666666667,SFG
,LAN/LAN202008090,"Sunday, Aug 9",2020-08-09,1,Day,16,2:41,0.5,9,Home,Rogers,SFG,2,11-5,Win,2,6,,+,McGee,LAD,SFG,6,2,Los Angeles Dodgers,87,46,2.5625,LAD
,LAN/LAN202008100,"Monday, Aug 10",2020-08-10,1,Night,17,2:56,0.5,9,Home,May,SDP,2,11-6,Loss,2,1,Pomeranz,-,Quantrill,LAD,SDP,1,2,Los Angeles Dodgers,88,48,2.3529411764705883,SDP
,LAN/LAN202008110,"Tuesday, Aug 11",2020-08-11,1,Night,18,3:02,1.5,9,Home,Stripling,SDP,2,11-7,Loss,6,2,Pomeranz,--,Richards,LAD,SDP,2,6,Los Angeles Dodgers,90,54,2.0,SDP
,LAN/LAN202008120,"Wednesday, Aug 12",2020-08-12,1,Night,19,2:52,0.5,9,Home,Davies,SDP,2,12-7,Win,0,6,,+,Treinen,LAD,SDP,6,0,Los Angeles Dodgers,96,54,2.210526315789474,LAD
,LAN/LAN202008130,"Thursday, Aug 13",2020-08-13,1,Night,20,2:45,0.0,9,Home,Paddack,SDP,1,13-7,Win,2,11,,++,Urias,LAD,SDP,11,2,Los Angeles Dodgers,107,56,2.55,LAD
