datetime,visitor,visitor_runs,home,home_team_runs
2020-07-23,SFG,1,LAD,8
2020-07-24,SFG,1,LAD,9
2020-07-25,SFG,5,LAD,4
2020-07-26,SFG,3,LAD,1
2020-07-28,LAD,5,HOU,2
2020-07-29,LAD,4,HOU,2
2020-07-30,LAD,6,ARI,3
2020-07-31,LAD,3,ARI,5
2020-08-01,LAD,11,ARI,2
2020-08-02,LAD,3,ARI,0
2020-08-03,LAD,4,SDP,5
2020-08-04,LAD,5,SDP,2
2020-08-05,LAD,7,SDP,6
2020-08-07,SFG,2,LAD,7
2020-08-08,SFG,5,LAD,4
2020-08-09,SFG,2,LAD,6
2020-08-10,SDP,2,LAD,1
2020-08-11,SDP,6,LAD,2
2020-08-12,SDP,0,LAD,6
2020-08-13,SDP,2,LAD,11
2020-08-14,LAD,7,LAA,4
2020-08-15,LAD,6,LAA,5
2020-08-16,LAD,8,LAA,3
2020-08-17,SEA,9,LAD,11
2020-08-18,SEA,1,LAD,2
2020-08-19,LAD,4,SEA,6
2020-08-20,LAD,6,SEA,1
2020-08-21,COL,1,LAD,5
2020-08-22,COL,3,LAD,4
2020-08-23,COL,3,LAD,11
2020-08-25,LAD,8,SFG,10
2020-08-27,LAD,7,SFG,0
2020-08-27,LAD,2,SFG,0
2020-08-28,LAD,2,TEX,6
2020-08-29,LAD,7,TEX,4
2020-08-30,LAD,7,TEX,2
2020-09-01,ARI,3,LAD,6
2020-09-02,ARI,2,LAD,3
2020-09-03,ARI,1,LAD,5
2020-09-04,COL,6,LAD,10
2020-09-05,COL,5,LAD,2
2020-09-06,COL,7,LAD,6
2020-09-08,LAD,10,ARI,9
2020-09-09,LAD,6,ARI,4
2020-09-10,LAD,2,ARI,5
2020-09-12,HOU,7,LAD,5
2020-09-13,HOU,1,LAD,8
2020-09-14,LAD,2,SDP,7
2020-09-15,LAD,3,SDP,1
2020-09-16,LAD,7,SDP,5
2020-09-17,LAD,9,COL,3
2020-09-18,LAD,15,COL,6
2020-09-19,LAD,6,COL,1
2020-09-20,LAD,3,COL,6
2020-07-24,TOR,6,TBR,4
2020-07-25,TOR,1,TBR,4
2020-07-26,TOR,5,TBR,6
2020-07-27,ATL,5,TBR,14
2020-07-28,ATL,2,TBR,5
2020-07-29,TBR,4,ATL,7
2020-07-30,TBR,1,ATL,2
2020-07-31,TBR,3,BAL,6
