Date,team1,team2,winners,team1wins,team2wins,ties
2019-04-01,TEX,HOU,HOU,3215,5162,1623
2019-04-01,SFG,LAD,LAD,1947,7422,631
2019-04-01,DET,NYY,NYY,2516,5834,1650
2019-04-01,CHC,ATL,CHC,8128,1034,838
2019-04-01,BOS,OAK,OAK,2335,6215,1450
2019-04-01,COL,TBR,TBR,3783,4192,2025
2019-04-01,CHW,CLE,CHW,5803,2763,1434
2019-04-01,PIT,STL,PIT,5430,2957,1613
2019-04-01,CIN,MIL,MIL,2996,5366,1638
2019-04-01,MIA,NYM,NYM,3635,5421,944
2019-04-01,SDP,ARI,SDP,8118,1163,719
2019-04-01,SEA,LAA,SEA,6570,2027,1403
2019-04-01,BAL,TOR,TOR,2676,5772,1552
2019-04-02,TEX,HOU,HOU,3335,5172,1493
2019-04-02,SFG,LAD,LAD,2916,6360,724
2019-04-02,DET,NYY,NYY,2087,6318,1595
2019-04-02,KCR,MIN,MIN,3327,5529,1144
2019-04-02,BOS,OAK,OAK,1694,7285,1021
2019-04-02,COL,TBR,TBR,2175,6404,1421
2019-04-02,PHI,WSN,PHI,7098,2116,786
2019-04-02,CIN,MIL,MIL,2486,5624,1890
2019-04-02,MIA,NYM,NYM,2782,6158,1060
2019-04-02,SDP,ARI,SDP,5747,3129,1124
2019-04-02,SEA,LAA,SEA,7075,1619,1306
2019-04-02,BAL,TOR,TOR,3398,5053,1549
2019-04-03,TEX,HOU,HOU,3855,4421,1724
2019-04-03,SFG,LAD,LAD,2803,6321,876
2019-04-03,DET,NYY,NYY,3070,5234,1696
2019-04-03,KCR,MIN,MIN,2951,5731,1318
2019-04-03,CHC,ATL,CHC,4626,4413,961
2019-04-03,BOS,OAK,OAK,1921,6981,1098
2019-04-03,COL,TBR,TBR,1557,7102,1341
2019-04-03,CHW,CLE,CHW,4501,3926,1573
2019-04-03,PHI,WSN,PHI,8117,1200,683
2019-04-03,PIT,STL,PIT,4542,3580,1878
2019-04-03,CIN,MIL,MIL,2321,5627,2052
2019-04-03,MIA,NYM,NYM,2659,6173,1168
2019-04-03,SDP,ARI,SDP,4996,3810,1194
2019-04-03,BAL,TOR,TOR,3726,4590,1684
2019-04-04,BAL,NYY,NYY,3939,4314,1747
2019-04-04,CHC,ATL,ATL,4079,4773,1148
2019-04-04,BOS,OAK,OAK,2526,6189,1285
2019-04-04,TOR,CLE,TOR,6512,2172,1316
2019-04-04,NYM,WSN,NYM,6440,2621,939
2019-04-04,LAA,TEX,TEX,3714,5182,1104
2019-04-04,PIT,CIN,PIT,5475,2494,2031
2019-04-04,DET,KCR,KCR,3344,4467,2189
2019-04-05,OAK,HOU,OAK,5950,2246,1804
2019-04-05,COL,LAD,LAD,2703,6502,795
2019-04-05,PHI,MIN,PHI,5386,3225,1389
2019-04-05,MIA,ATL,ATL,3253,5478,1269
2019-04-05,SFG,TBR,TBR,1904,6509,1587
2019-04-05,TOR,CLE,TOR,5350,3065,1585
2019-04-05,SDP,STL,STL,3373,4467,2160
2019-04-05,CHC,MIL,MIL,3032,5689,1279
2019-04-05,BOS,ARI,ARI,4218,4718,1064
2019-04-05,LAA,TEX,TEX,2895,6077,1028
2019-04-05,PIT,CIN,PIT,6033,2106,1861
2019-04-05,SEA,CHW,SEA,5564,2846,1590
2019-04-06,OAK,HOU,OAK,5486,2542,1972
2019-04-06,COL,LAD,LAD,2428,6715,857
2019-04-06,BAL,NYY,NYY,3208,5189,1603
2019-04-06,PHI,MIN,PHI,6503,2306,1191
2019-04-06,MIA,ATL,ATL,2710,6055,1235
2019-04-06,SFG,TBR,TBR,1465,7026,1509
2019-04-06,TOR,CLE,TOR,5014,3311,1675
2019-04-06,NYM,WSN,NYM,5354,3520,1126
2019-04-06,SDP,STL,SDP,4071,3678,2251
2019-04-06,CHC,MIL,MIL,3100,5830,1070
2019-04-06,BOS,ARI,ARI,3529,5516,955
2019-04-06,LAA,TEX,TEX,3350,5572,1078
2019-04-06,PIT,CIN,PIT,6434,1737,1829
2019-04-06,SEA,CHW,SEA,4966,3552,1482
2019-04-06,DET,KCR,KCR,3684,4005,2311
2019-04-07,OAK,HOU,OAK,4291,3796,1913
2019-04-07,COL,LAD,LAD,1973,7159,868
2019-04-07,BAL,NYY,NYY,2862,5528,1610
2019-04-07,PHI,MIN,PHI,5481,3239,1280
2019-04-07,MIA,ATL,ATL,3150,5505,1345
2019-04-07,SFG,TBR,TBR,2174,6206,1620
2019-04-07,TOR,CLE,CLE,4069,4322,1609
2019-04-07,NYM,WSN,NYM,5512,3367,1121
2019-04-07,SDP,STL,SDP,4581,3206,2213
2019-04-07,CHC,MIL,MIL,4080,5014,906
2019-04-07,BOS,ARI,ARI,3506,5517,977
2019-04-07,LAA,TEX,TEX,3848,5052,1100
2019-04-07,PIT,CIN,PIT,6137,2094,1769
2019-04-07,SEA,CHW,SEA,6082,2644,1274
2019-04-07,DET,KCR,DET,4643,3230,2127
2019-04-08,NYY,HOU,NYY,5573,3286,1141
2019-04-08,STL,LAD,LAD,2648,6371,981
2019-04-08,COL,ATL,ATL,2370,6438,1192
2019-04-08,BAL,OAK,OAK,2660,5892,1448
2019-04-08,CHW,TBR,TBR,1953,6572,1475
2019-04-08,PHI,WSN,PHI,5964,3029,1007
2019-04-08,LAA,MIL,MIL,4129,4704,1167
2019-04-08,PIT,CHC,PIT,5479,3513,1008
2019-04-08,SDP,SFG,SDP,5099,2834,2067
2019-04-08,KCR,SEA,SEA,2076,6740,1184
2019-04-09,NYY,HOU,NYY,5394,3390,1216
2019-04-09,STL,LAD,LAD,2960,6003,1037
2019-04-09,NYM,MIN,MIN,4303,4434,1263
2019-04-09,COL,ATL,ATL,2302,6509,1189
2019-04-09,BAL,OAK,OAK,4015,4709,1276
2019-04-09,CHW,TBR,TBR,1735,6913,1352
2019-04-09,DET,CLE,CLE,4055,4268,1677
2019-04-09,PHI,WSN,PHI,5979,2971,1050
2019-04-09,LAA,MIL,MIL,4380,4444,1176
2019-04-09,TEX,ARI,TEX,4590,4545,865
2019-04-09,TOR,BOS,TOR,5485,3340,1175
2019-04-09,SDP,SFG,SDP,5191,2879,1930
2019-04-09,MIA,CIN,MIA,4458,3781,1761
2019-04-09,KCR,SEA,SEA,1530,7512,958
2019-04-10,NYY,HOU,NYY,4923,3736,1341
2019-04-10,STL,LAD,LAD,3458,5552,990
2019-04-10,NYM,MIN,MIN,3667,5225,1108
2019-04-10,BAL,OAK,OAK,3167,5715,1118
2019-04-10,CHW,TBR,TBR,1772,7109,1119
2019-04-10,DET,CLE,CLE,3300,5134,1566
2019-04-10,PHI,WSN,PHI,5387,3511,1102
2019-04-10,LAA,MIL,LAA,4786,4092,1122
2019-04-10,TEX,ARI,TEX,4542,4489,969
2019-04-10,PIT,CHC,CHC,4366,4591,1043
2019-04-10,SDP,SFG,SDP,4267,3823,1910
2019-04-10,MIA,CIN,CIN,3198,5725,1077
2019-04-10,KCR,SEA,SEA,1407,7578,1015
2019-04-11,STL,LAD,LAD,3861,5122,1017
2019-04-11,NYM,ATL,ATL,3543,5086,1371
2019-04-11,BAL,OAK,OAK,2769,6213,1018
2019-04-11,DET,CLE,CLE,3746,4596,1658
2019-04-11,SDP,ARI,SDP,4667,4332,1001
2019-04-11,TOR,BOS,TOR,5723,3065,1212
2019-04-11,PIT,CHC,PIT,4609,4429,962
2019-04-11,COL,SFG,SFG,2685,5716,1599
2019-04-11,MIA,CIN,CIN,3152,5767,1081
2019-04-11,KCR,SEA,SEA,1487,7466,1047
2019-04-12,SEA,HOU,SEA,5792,2835,1373
2019-04-12,MIL,LAD,LAD,3465,5575,960
2019-04-12,CHW,NYY,NYY,2540,6425,1035
2019-04-12,NYM,ATL,ATL,3939,4684,1377
2019-04-12,TEX,OAK,OAK,3889,4957,1154
2019-04-12,TOR,TBR,TBR,2276,6374,1350
2019-04-12,KCR,CLE,CLE,2370,6144,1486
2019-04-12,PIT,WSN,WSN,3765,5215,1020
2019-04-12,SDP,ARI,SDP,4791,4118,1091
2019-04-12,BAL,BOS,BOS,4172,4605,1223
2019-04-12,LAA,CHC,LAA,4784,4222,994
2019-04-12,MIA,PHI,PHI,2924,5993,1083
2019-04-12,COL,SFG,SFG,2645,5741,1614
2019-04-13,SEA,HOU,SEA,5381,3277,1342
2019-04-13,MIL,LAD,LAD,3666,5309,1025
2019-04-13,CHW,NYY,NYY,2851,6053,1096
2019-04-13,DET,MIN,MIN,3607,5245,1148
2019-04-13,NYM,ATL,NYM,4374,4162,1464
2019-04-13,TOR,TBR,TBR,2335,6503,1162
2019-04-13,KCR,CLE,CLE,3360,5026,1614
2019-04-13,PIT,WSN,WSN,4097,4837,1066
2019-04-13,CIN,STL,STL,3865,4781,1354
2019-04-13,SDP,ARI,SDP,4845,4087,1068
2019-04-13,BAL,BOS,BOS,3937,4821,1242
2019-04-13,LAA,CHC,CHC,4334,4676,990
2019-04-13,MIA,PHI,PHI,2385,6636,979
2019-04-13,COL,SFG,SFG,2554,5797,1649
2019-04-14,SEA,HOU,SEA,5174,3519,1307
2019-04-14,MIL,LAD,LAD,3964,5049,987
2019-04-14,CHW,NYY,NYY,2647,6265,1088
2019-04-14,DET,MIN,MIN,3511,5347,1142
2019-04-14,NYM,ATL,ATL,3995,4561,1444
2019-04-14,TEX,OAK,OAK,3747,5138,1115
2019-04-14,TOR,TBR,TBR,2557,6207,1236
2019-04-14,KCR,CLE,CLE,3764,4631,1605
2019-04-14,PIT,WSN,WSN,3998,4860,1142
2019-04-14,CIN,STL,STL,4223,4354,1423
2019-04-14,SDP,ARI,SDP,4966,3922,1112
2019-04-14,BAL,BOS,BOS,4306,4428,1266
2019-04-14,MIA,PHI,PHI,3149,5823,1028
2019-04-14,COL,SFG,SFG,2353,5983,1664
2019-04-15,CIN,LAD,LAD,4070,4956,974
2019-04-15,TOR,MIN,MIN,3452,5322,1226
2019-04-15,SEA,CLE,SEA,5882,2964,1154
2019-04-15,MIL,STL,STL,3261,5301,1438
2019-04-15,PHI,NYM,PHI,4669,4045,1286
2019-04-15,BAL,BOS,BOS,4025,4713,1262
2019-04-15,MIA,CHC,CHC,3319,5734,947
2019-04-15,LAA,TEX,LAA,4625,4212,1163
2019-04-15,KCR,CHW,KCR,5138,3556,1306
2019-04-15,SDP,COL,SDP,5671,2950,1379
2019-04-16,OAK,HOU,HOU,4172,4489,1339
2019-04-16,CIN,LAD,LAD,3988,5006,1006
2019-04-16,BOS,NYY,NYY,2767,5981,1252
2019-04-16,TOR,MIN,MIN,3564,5160,1276
2019-04-16,ARI,ATL,ATL,3561,5163,1276
2019-04-16,BAL,TBR,TBR,2025,6879,1096
2019-04-16,SEA,CLE,SEA,5534,3163,1303
2019-04-16,SFG,WSN,WSN,3818,5088,1094
