attendance,boxscore_index,date,datetime,game_number_for_day,day_or_night,game,game_duration,games_behind,innings,location,loser,opponent_abbr,rank,record,result,runs_allowed,runs_scored,save,streak,winner
,HOU/HOU202007240,"Friday, Jul 24",2020-07-24,1,Night,1,2:49,1.0,9,Away,Gonzales,HOU,4,0-1,Loss,8,2,,-,Verlander
,HOU/HOU202007250,"Saturday, Jul 25",2020-07-25,1,Day,2,2:53,2.0,9,Away,Walker,HOU,5,0-2,Loss,7,2,,--,McCullers
,HOU/HOU202007260,"Sunday, Jul 26",2020-07-26,1,Day,3,3:41,1.0,9,Away,Devenski,HOU,3,1-2,Win,6,7,Williams,+,Altavilla
,HOU/HOU202007270,"Monday, Jul 27",2020-07-27,1,Night,4,3:04,2.0,9,Away,Graveman,HOU,4,1-3,Loss,8,5,Osuna,-,Bielak
,ANA/ANA202007280,"Tuesday, Jul 28",2020-07-28,1,Night,5,3:15,2.0,9,Away,Sheffield,LAA,5,1-4,Loss,10,2,,--,Buchter
,ANA/ANA202007290,"Wednesday, Jul 29",2020-07-29,1,Night,6,3:47,1.0,9,Away,Barnes,LAA,4,2-4,Win,7,10,Altavilla,+,Shaw
,ANA/ANA202007300,"Thursday, Jul 30",2020-07-30,1,Night,7,2:59,0.5,9,Away,Bundy,LAA,3,3-4,Win,5,8,,++,Gonzales
,SEA/SEA202007310,"Friday, Jul 31",2020-07-31,1,Night,8,2:34,0.5,9,Home,Manaea,OAK,2,4-4,Win,3,5,Williams,+++,Walker
,SEA/SEA202008010,"Saturday, Aug 1",2020-08-01,1,Night,9,3:11,0.5,10,Home,Altavilla,OAK,3,4-5,Loss,3,2,Hendriks,-,Soria
,SEA/SEA202008020,"Sunday, Aug 2",2020-08-02,1,Day,10,3:20,1.5,9,Home,Graveman,OAK,3,4-6,Loss,3,2,Hendriks,--,Bassitt
,SEA/SEA202008030,"Monday, Aug 3",2020-08-03,1,Night,11,3:04,2.5,9,Home,Sheffield,OAK,4,4-7,Loss,11,1,,---,Montas
,SEA/SEA202008040,"Tuesday, Aug 4",2020-08-04,1,Night,12,2:55,3.5,9,Home,Dunn,LAA,5,4-8,Loss,5,3,Buttrey,----,Heaney
,SEA/SEA202008050,"Wednesday, Aug 5",2020-08-05,1,Night,13,3:09,3.5,9,Home,Teheran,LAA,3,5-8,Win,6,7,Edwards,+,Gonzales
,SEA/SEA202008060,"Thursday, Aug 6",2020-08-06,1,Day,14,2:23,4.5,9,Home,Walker,LAA,4,5-9,Loss,6,1,,-,Bundy
,SEA/SEA202008070,"Friday, Aug 7",2020-08-07,1,Night,15,3:13,5.5,9,Home,Kikuchi,COL,5,5-10,Loss,8,4,,--,Senzatela
,SEA/SEA202008080,"Saturday, Aug 8",2020-08-08,1,Night,16,2:49,6.5,9,Home,Misiewicz,COL,5,5-11,Loss,5,0,,---,Hoffman
,SEA/SEA202008090,"Sunday, Aug 9",2020-08-09,1,Day,17,2:45,6.5,9,Home,Marquez,COL,4,6-11,Win,3,5,Williams,+,Sheffield
,TEX/TEX202008100,"Monday, Aug 10",2020-08-10,1,Night,18,3:18,5.5,9,Away,Gibson,TEX,4,7-11,Win,2,10,,++,Dunn
,TEX/TEX202008110,"Tuesday, Aug 11",2020-08-11,1,Night,19,2:56,5.5,9,Away,Gonzales,TEX,5,7-12,Loss,4,2,Montero,-,Volquez
,TEX/TEX202008120,"Wednesday, Aug 12",2020-08-12,1,Night,20,3:09,6.5,9,Away,Swanson,TEX,5,7-13,Loss,7,4,Montero,--,Hernandez
,HOU/HOU202008140,"Friday, Aug 14",2020-08-14,1,Night,21,3:10,7.5,9,Away,Cortes,HOU,5,7-14,Loss,11,1,,---,Valdez
,HOU/HOU202008150,"Saturday, Aug 15",2020-08-15,1,Night,22,2:30,8.5,9,Away,Margevicius,HOU,5,7-15,Loss,2,1,Pressly,----,Javier
,HOU/HOU202008160,"Sunday, Aug 16",2020-08-16,1,Day,23,2:56,9.5,9,Away,Swanson,HOU,5,7-16,Loss,3,2,,-----,Pressly
,LAN/LAN202008170,"Monday, Aug 17",2020-08-17,1,Night,24,3:32,9.5,9,Away,Magill,LAD,5,7-17,Loss,11,9,Jansen,------,Ferguson
,LAN/LAN202008180,"Tuesday, Aug 18",2020-08-18,1,Day,25,2:38,9.5,9,Away,Altavilla,LAD,5,7-18,Loss,2,1,,-------,Treinen
,SEA/SEA202008190,"Wednesday, Aug 19",2020-08-19,1,Night,26,3:15,9.5,9,Home,Santana,LAD,5,8-18,Win,4,6,Williams,+,Walker
,SEA/SEA202008200,"Thursday, Aug 20",2020-08-20,1,Day,27,2:42,10.5,9,Home,Kikuchi,LAD,5,8-19,Loss,6,1,,-,Kershaw
,SEA/SEA202008210,"Friday, Aug 21",2020-08-21,1,Night,28,2:41,10.5,9,Home,Allard,TEX,4,9-19,Win,4,7,Williams,+,Margevicius
,SEA/SEA202008220,"Saturday, Aug 22",2020-08-22,1,Night,29,2:51,9.5,9,Home,Lyles,TEX,4,10-19,Win,1,10,,++,Sheffield
,SEA/SEA202008230,"Sunday, Aug 23",2020-08-23,1,Day,30,2:14,9.5,9,Home,Minor,TEX,4,11-19,Win,1,4,Williams,+++,Dunn
